80009E	272
80019E	243
80059E	255
80129E	281
80139E	261
80199E	281
80209E	273
80219E	266
80239E	261
80249E	260
80259E	273
80269E	271
80279E	254
80299E	260
80309E	253
80319E	175
80329E	188
80339E	182
80349E	204
80359E	210
80369E	184
80399E	275
80409E	194
80419E	309
83909E	260
84099E	236
84129E	288
84169E	300
84239E	288
84329E	292
84449E	266
84589E	277
84759E	265
84779E	288
84889E	277
84929E	299
84959E	320
85019E	260
85059E	252
85069E	296
85159E	236
85169E	273
85249E	289
85259E	263
85329E	275
85339E	286
85419E	282
85439E	301
85549E	288
85609E	239
85779E	270
85809E	288
85879E	288
85889E	271
85989E	271
86049E	274
86119E	256
86239E	281
86319E	334
86469E	241
86599E	305
86659E	274
86729E	289
86739E	243
86749E	302
86839E	291
86889E	259
86949E	275
86969E	247
86989E	302
87099E	271
87109E	293
87189E	273
87219E	290
87339E	288
87369E	275
87459E	265
87479E	282
87519E	259
87589E	252
87719E	287
87759E	289
87839E	273
87909E	273
87949E	269
87979E	286
88009E	285
88089E	272
88289E	301
88369E	276
88379E	253
88399E	251
88479E	217
88559E	277
88699E	249
88779E	298
88839E	228
88849E	268
88869E	249
88889E	263
88919E	239
88949E	268
88969E	278
89039E	263
89059E	228
89079E	242
89089E	275
89139E	213
89149E	239
89189E	270
89219E	228
89239E	268
89249E	268
89289E	286
89309E	244
89329E	248
89339E	286
89369E	232
89389E	258
89409E	265
89429E	248
89439E	91
89449E	126
89469E	96
89489E	90
89609E	228
89649E	241
89659E	144
89689E	260
89699E	247
89709E	253
89719E	189
89729E	271
89749E	165
89769E	189
89779E	251
89809E	243
89829E	218
89869E	249
91469E	139
91479E	107
9149E	35
91539E	132
9159E	10
91619E	109
91629E	105
91669E	97
9169E	34
91709E	81
91769E	76
9179E	28
91819E	60
91869E	43
91879E	38
9189E	3
96009E	23
96019E	21
96029E	20
96049E	33
96059E	29
96069E	27
96079E	22
9609E	2
HZO	2
N001BR	1
N021BR	2
N043BR	1
N050AA	345
N050BR	1
N051AA	327
N052AA	308
N054AA	324
N055AA	289
N055BR	1
N056AA	297
N057AA	290
N058AA	319
N059AA	354
N060AA	305
N061AA	311
N062AA	352
N063AA	329
N064AA	321
N065AA	347
N066AA	355
N067AA	301
N068AA	341
N069AA	346
N070AA	308
N071AA	321
N072AA	300
N073AA	345
N074AA	271
N075AA	275
N075BR	1
N076AA	309
N077AA	320
N078AA	308
N079AA	329
N080AA	330
N081AA	325
N082AA	313
N083AA	344
N084AA	327
N10156	406
N101DA	92
N101UW	142
N102DA	139
N102UW	704
N10323	375
N103DA	91
N103US	341
N103UW	372
N104DA	57
N104UA	15
N104UW	720
N10575	519
N105DA	69
N105UA	14
N105UW	712
N106DA	106
N106US	345
N106UW	394
N107DL	69
N107UA	13
N107US	329
N107UW	373
N108DL	104
N108UW	764
N109DL	98
N109UW	755
N110DL	95
N110UW	662
N11106	423
N11107	419
N11109	437
N11113	452
N11119	466
