2005,1,0	187556
2005,1,1	187024
2005,1,2	195260
2005,10,0	187062
2005,10,1	190883
2005,10,2	204292
2005,11,0	190222
2005,11,1	186256
2005,11,2	184074
2005,12,0	177031
2005,12,1	182920
2005,12,2	201641
2005,2,0	191242
2005,2,1	190151
2005,2,2	154434
2005,3,0	195278
2005,3,1	195264
2005,3,2	216829
2005,4,0	193137
2005,4,1	198352
2005,4,2	195471
2005,5,0	198467
2005,5,1	198261
2005,5,2	212197
2005,6,0	197692
2005,6,1	199590
2005,6,2	201997
2005,7,0	194570
2005,7,1	200076
2005,7,2	219464
2005,8,0	202889
2005,8,1	199057
2005,8,2	215506
2005,9,0	186720
2005,9,1	189021
2005,9,2	186980
2006,1,0	187166
2006,1,1	184722
2006,1,2	199612
2006,10,0	194446
2006,10,1	194936
2006,10,2	210937
2006,11,0	196338
2006,11,1	190634
2006,11,2	189667
2006,12,0	187873
2006,12,1	194087
2006,12,2	204704
2006,2,0	186899
2006,2,1	180604
2006,2,2	152451
2006,3,0	193452
2006,3,1	189681
2006,3,2	214498
2006,4,0	191464
2006,4,1	195582
2006,4,2	191701
2006,5,0	194394
2006,5,1	191832
2006,5,2	209636
2006,6,0	192880
2006,6,1	197969
2006,6,2	197378
2006,7,0	193147
2006,7,1	200186
2006,7,2	217176
2006,8,0	201213
2006,8,1	199255
2006,8,2	218481
2006,9,0	190739
2006,9,1	193106
2006,9,2	191142
2007,1,0	199701
2007,1,1	189519
2007,1,2	216562
2007,10,0	202572
2007,10,1	198599
2007,10,2	221494
2007,11,0	200391
2007,11,1	202522
2007,11,2	195957
2007,12,0	190577
2007,12,1	195694
2007,12,2	206375
2007,2,0	192867
2007,2,1	190654
2007,2,2	156618
2007,3,0	199525
2007,3,1	200385
2007,3,2	222422
2007,4,0	203856
2007,4,1	201462
2007,4,2	198192
2007,5,0	203341
2007,5,1	200355
2007,5,2	221072
2007,6,0	201056
2007,6,1	207585
2007,6,2	203396
2007,7,0	199828
2007,7,1	208841
2007,7,2	226385
2007,8,0	209182
2007,8,1	205630
2007,8,2	226172
2007,9,0	194503
2007,9,1	201581
2007,9,2	197596
2008,1,0	194841
2008,1,1	185769
2008,1,2	207847
2008,10,0	180239
2008,10,1	175543
2008,10,2	197174
2008,11,0	173657
2008,11,1	177449
2008,11,2	167708
2008,12,0	174336
2008,12,1	168841
2008,12,2	184002
2008,2,0	181898
2008,2,1	192198
2008,2,2	174544
2008,3,0	189660
2008,3,1	197147
2008,3,2	213100
2008,4,0	195383
2008,4,1	194331
2008,4,2	198057
2008,5,0	193606
2008,5,1	195640
2008,5,2	210818
2008,6,0	197439
2008,6,1	201652
2008,6,2	198643
2008,7,0	195863
2008,7,1	199823
2008,7,2	221647
2008,8,0	197089
2008,8,1	199340
2008,8,2	206015
2008,9,0	179848
2008,9,1	172229
2008,9,2	178918
