9E,2036201,57.0
AA,9778835,38.0
AQ,144922,38.0
AS,2851633,35.0
B6,1921917,25.0
CO,3478163,34.0
DH,230283,25.0
DL,6373218,36.0
EV,8066502,49.0
F9,830852,22.0
FL,1834734,32.0
HA,506638,43.0
HP,602806,31.0
MQ,7074697,35.0
NW,8111084,38.0
OH,5192387,46.0
OO,8916374,41.0
TZ,162335,43.0
UA,6784698,35.0
US,5668449,24.0
WN,8071136,17.0
XE,4396050,33.0
YV,5519911,60.0
